2024-01-07 21:21:38,515 INFO    StreamThr :18335 [internal.py:wandb_internal():86] W&B internal server running at pid: 18335, started at: 2024-01-07 21:21:38.514924
2024-01-07 21:21:38,516 DEBUG   HandlerThread:18335 [handler.py:handle_request():146] handle_request: status
2024-01-07 21:21:38,517 INFO    WriterThread:18335 [datastore.py:open_for_write():85] open: /home/duong/Documents/git/FederatedLearning/pFL-CAG/system/wandb/run-20240107_212138-byni6slc/run-byni6slc.wandb
2024-01-07 21:21:38,517 DEBUG   SenderThread:18335 [sender.py:send():380] send: header
2024-01-07 21:21:38,519 DEBUG   SenderThread:18335 [sender.py:send():380] send: run
2024-01-07 21:21:40,051 INFO    SenderThread:18335 [dir_watcher.py:__init__():211] watching files in: /home/duong/Documents/git/FederatedLearning/pFL-CAG/system/wandb/run-20240107_212138-byni6slc/files
2024-01-07 21:21:40,051 INFO    SenderThread:18335 [sender.py:_start_run_threads():1124] run started: byni6slc with start time 1704637298.5146
2024-01-07 21:21:40,052 DEBUG   HandlerThread:18335 [handler.py:handle_request():146] handle_request: check_version
2024-01-07 21:21:40,053 DEBUG   SenderThread:18335 [sender.py:send_request():407] send_request: check_version
2024-01-07 21:21:40,200 DEBUG   HandlerThread:18335 [handler.py:handle_request():146] handle_request: run_start
2024-01-07 21:21:40,204 DEBUG   HandlerThread:18335 [system_info.py:__init__():32] System info init
2024-01-07 21:21:40,204 DEBUG   HandlerThread:18335 [system_info.py:__init__():47] System info init done
2024-01-07 21:21:40,204 INFO    HandlerThread:18335 [system_monitor.py:start():194] Starting system monitor
2024-01-07 21:21:40,204 INFO    SystemMonitor:18335 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-07 21:21:40,204 INFO    HandlerThread:18335 [system_monitor.py:probe():214] Collecting system info
2024-01-07 21:21:40,205 INFO    SystemMonitor:18335 [interfaces.py:start():190] Started cpu monitoring
2024-01-07 21:21:40,206 INFO    SystemMonitor:18335 [interfaces.py:start():190] Started disk monitoring
2024-01-07 21:21:40,206 INFO    SystemMonitor:18335 [interfaces.py:start():190] Started gpu monitoring
